,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
12078,20894086,Eixample,80.0,l'Antiga Esquerra de l'Eixample,4,143,32,1480.0
12125,20955879,Sant Martí,60.0,Sant Martí de Provençals,2,285,31,400.0
12161,20992876,Horta-Guinardó,56.0,el Baix Guinardó,1,92,32,1274.0
12163,20994829,Sant Martí,65.0,Sant Martí de Provençals,3,46,31,1727.92
12226,21057215,Gràcia,60.0,la Vila de Gràcia,6,333,32,160.0
12274,21143859,Sant Martí,80.0,Sant Martí de Provençals,4,347,31,120.0
12284,21161975,Sant Martí,50.0,el Besòs i el Maresme,6,168,32,820.83
12324,21207993,Ciutat Vella,42.0,la Barceloneta,3,318,31,164.5
12329,21214815,Sants-Montjuïc,60.0,Sants,2,283,32,410.0
12353,21253976,Ciutat Vella,60.0,"Sant Pere, Santa Caterina i la Ribera",2,318,30,235.0
12365,21273654,Ciutat Vella,60.0,la Barceloneta,4,343,31,110.0
12404,21310171,Ciutat Vella,32.0,el Raval,4,256,32,290.67
12462,21389251,Sants-Montjuïc,66.0,Sants,2,61,32,1672.0
12477,21393496,Sants-Montjuïc,80.0,Sants,4,331,32,226.67
12495,21408803,Sants-Montjuïc,60.0,Sants,2,325,32,200.0
12525,21459655,Sant Martí,78.0,el Poblenou,6,365,32,0.0
12547,21479593,Ciutat Vella,43.0,"Sant Pere, Santa Caterina i la Ribera",4,305,32,215.0
12655,21629636,Eixample,45.0,Sant Antoni,4,258,32,401.25
12692,21658948,Ciutat Vella,29.0,el Barri Gòtic,2,52,32,756.42
12714,21692190,Ciutat Vella,94.0,el Barri Gòtic,6,365,32,0.0
12739,21710572,Ciutat Vella,50.0,el Raval,3,326,32,162.5
12925,21874824,Ciutat Vella,103.0,"Sant Pere, Santa Caterina i la Ribera",6,122,32,2085.75
13005,21956277,Eixample,43.0,el Fort Pienc,2,139,32,809.83
13075,22039238,Gràcia,42.0,la Vila de Gràcia,3,204,31,563.5
13085,22062477,Eixample,59.0,l'Antiga Esquerra de l'Eixample,2,333,32,157.33
13131,22141782,Ciutat Vella,71.0,"Sant Pere, Santa Caterina i la Ribera",6,309,32,331.33
13140,22154964,Ciutat Vella,71.0,"Sant Pere, Santa Caterina i la Ribera",6,319,32,272.17
13144,22155702,Ciutat Vella,71.0,"Sant Pere, Santa Caterina i la Ribera",6,284,32,479.25
