,id,neighbourhood_group_cleansed,price,neighbourhood_cleansed,accommodates,availability_365,minimum_nights,revenue
8329,15800641,Ciutat Vella,145.0,el Barri Gòtic,5,249,3,1401.67
8337,15815550,Eixample,153.0,la Sagrada Família,6,111,3,3238.5
8342,15826346,Ciutat Vella,27.0,el Barri Gòtic,2,162,32,456.75
8350,15850185,Eixample,70.0,la Dreta de l'Eixample,4,83,2,1645.0
8357,15863206,Eixample,120.0,la Sagrada Família,5,102,2,2630.0
8362,15867365,Eixample,150.0,la Dreta de l'Eixample,6,318,2,587.5
8364,15867578,Eixample,225.0,la Dreta de l'Eixample,4,306,2,1106.25
8365,15867971,Eixample,65.0,la Sagrada Família,3,286,3,427.92
8369,15881982,Sants-Montjuïc,145.0,Hostafrancs,4,317,4,580.0
8373,15893888,Eixample,99.0,Sant Antoni,6,66,4,2466.75
8374,15896233,Eixample,119.0,la Sagrada Família,6,133,4,2300.67
8379,15906878,Eixample,85.0,la Sagrada Família,4,302,3,446.25
8383,15907610,Gràcia,105.0,Vallcarca i els Penitents,4,166,3,1741.25
8386,15912036,Les Corts,90.0,les Corts,4,12,2,2647.5
8391,15928663,Ciutat Vella,36.0,el Barri Gòtic,4,210,28,465.0
8392,15935137,Sants-Montjuïc,100.0,Sants,2,99,1,2216.67
8396,15939484,Eixample,353.0,la Dreta de l'Eixample,6,269,2,2824.0
8400,15949165,Sant Martí,70.0,el Besòs i el Maresme,4,323,30,245.0
8401,15953093,Eixample,92.0,la Sagrada Família,6,128,2,1817.0
8407,15962297,Eixample,90.0,la Sagrada Família,6,214,2,1132.5
8408,15963112,Eixample,90.0,la Dreta de l'Eixample,6,154,3,1582.5
8423,15989980,Sant Martí,90.0,el Parc i la Llacuna del Poblenou,2,281,1,630.0
8428,15996573,Eixample,309.0,la Dreta de l'Eixample,6,324,3,1055.75
8432,16010568,Eixample,60.0,la Sagrada Família,4,299,3,330.0
8455,16058891,Eixample,70.0,la Sagrada Família,4,112,2,1475.83
8456,16059042,Sant Martí,105.0,el Poblenou,4,46,2,2791.25
8463,16059949,Eixample,159.0,l'Antiga Esquerra de l'Eixample,4,33,2,4399.0
8471,16065561,Eixample,200.0,Sant Antoni,5,307,2,966.67
8477,16076627,Eixample,390.0,la Dreta de l'Eixample,4,345,3,650.0
8478,16077061,Eixample,159.0,l'Antiga Esquerra de l'Eixample,4,33,2,4399.0
8480,16078378,Eixample,159.0,l'Antiga Esquerra de l'Eixample,4,37,2,4346.0
8481,16078832,Eixample,159.0,l'Antiga Esquerra de l'Eixample,4,30,2,4438.75
8490,16097230,Sant Andreu,55.0,la Sagrera,2,263,32,467.5
8505,16121764,Eixample,250.0,la Sagrada Família,6,304,1,1270.83
8508,16126731,Eixample,150.0,la Sagrada Família,6,324,1,512.5
8509,16128469,Ciutat Vella,51.0,el Raval,2,311,31,229.5
8521,16170106,Sant Martí,45.0,el Camp de l'Arpa del Clot,4,257,32,405.0
8528,16176665,Eixample,200.0,la Sagrada Família,6,327,1,633.33
